bbawamarna:Abaci//Titulaturen	66FT2O2Q5VAWNC4YVHOHOEL2R4
bbawgrabinschriften:Scheintür//rechter Außenpfosten	ZB76TI6LBND7PLH6TJL7FG3D2E
bbawgrabinschriften:Scheintür//rechter Außenpfosten (A85)	4L3UMLGYWZHCBCHV3FG6BX6JRU
bbawgrabinschriften:Scheintür//rechter Außenpfosten (H24)	NRKWPWOBSZEWLGGY2NS5EFLNV4
bbawgrabinschriften:Scheintür//rechter Bildpfeiler	LFZ5EQMQS5CJXCG7NG3OLILFIU
bbawgrabinschriften:Scheintür//rechter Innenpfeiler	ZY5JGDNFCFDVVF63UGT72ZLBCA
bbawgrabinschriften:Scheintür//rechter Innenpfosten	Z3CNUVFO5NBSJGPBWUTRCX2HYQ
bbawgrabinschriften:Scheintür//rechter Innenpfosten (A91)	V2JGOTY3O5BUZAIHO3PYTXWKBA
bbawgrabinschriften:Scheintür//rechter Innenpfosten (H27)	24EFYEE5SNHHLHOYEODCCZ7TSI
bbawgrabinschriften:Scheintür//rechter Mittelpfeiler	S7E7UKF2BZDCRCJTF3BWXGUB7M
bbawgrabinschriften:Scheintür//rechter Mittelpfosten	X3TGLEWJIVCVZLFWOEUXR3DU3U
bbawgrabinschriften:Scheintür//rechter Mittelpfosten (A88)	QKJQC2XFIRBSLJ4P4VPJ64V2R4
bbawgrabinschriften:Scheintür//rechter Pfosten	B3I3OR5MOVGPNP2XBPYFK3ZSU4
bbawgrabinschriften:Scheintür//rechtes Bildfeld	WTRTON6E5VCXHGJKLROBY5BACA
bbawgrabinschriften:Scheintür//rechtes Pfeilerfeld	TK5WOPOISFHLXCKEQ4JESZYJXA
bbawgrabinschriften:Scheintür//rechts	WUED4NU2TJFS5GO2VHGSNEHBGY
bbawgrabinschriften:Scheintür//südl. Rücksprung	2FD55737MNCNLGHDUCYQSLQDLU
bbawgrabinschriften:Scheintür//unter Türsturz links, Beischrift	NL3N3UXM2VBOBMMY2TXUKQEO5Q
bbawgrabinschriften:Scheintür//unterer Sturzbalken	ZYV2U3S3BFCDPPQLSJDEGUQY5U
bbawgrabinschriften:Scheintür//unterer Sturzbalken (A89)	JQKTLJ7SNZHBRBZOA3XIJB7DZQ
bbawgrabinschriften:Scheintür//unterer Sturzbalken (H25)	OLEOHDZFP5F5RD6IZYE56CWTPQ
bbawgrabinschriften:Scheintür//unterer Türsturz	ZO6J254YRNAQ5LTPGXLBQRD4PU
bbawgrabinschriften:Scheintür//unterer Türsturz, Beischrift zum Grabherrn	QWUAN4IJVFEZJO7VSQQE2I4BAA
bbawgrabinschriften:Scheintür//wohl Opferformel auf Türsturz	JI4GFB6RRNFJBDP53FHHM7XNLA
bbawgrabinschriften:Scheintür//äußerer Türpfosten links	CKG7YKNYKVCVBGJN6S47GV7TBU
bbawgrabinschriften:Scheintür//äußerer Türpfosten rechts	2AB7D54CPNDBLGBR2CC264O62Y
bbawgrabinschriften:Scheintür//äußerer li. Türpfosten	CHKMIX5D3BDXXK7W4PDGYPLR2I
bbawgrabinschriften:Scheintür//äußerer re. Türpfosten	6YP2P2HEKBGMRH5P7EIAIYE4YU
bbawgrabinschriften:Scheintür//〈Inschriften〉	LDCOFJVM4RHE3DDM4SNQ2LIE6Q
bbawgrabinschriften:Scheintür//〈Texte〉	ZRJZGQDLPVF3JEEZ5V4QPRZMHA
bbawgrabinschriften:Scheintür//〈Text〉	ZWLXVHJFJRBCDIVK5ST2N474JY
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//Tafel	QNMFXIKGNFDYLKAH3PDKSX4N7M
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//Türrolle	GZB57L2CXZAYPJ7OZVULSEQGFM
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//Zwischenspalte	TODKAGLPQZGQFI56L2LCTZ22VA
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//linke Scheintür	CIZPHR5GGNFEVOF3QKNE32KAVI
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//linker Außenpfosten	UI4P6MBM3JG53LWQ27KERV3DDA
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//linker Innenpfosten	ABW3T3VHVFFCLHGZ5SH6W3URUM
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//oberer Sturzbalken	JVYRURMJTVATDD6PSGTVMH5UM4
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//rechte Scheintür	TRC6IDIHPVDRVJ3OQLME3EHE2A
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//rechter Außenpfosten	CP4NBLWIPVBL5ITJFVJT53BU4Q
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//rechter Innenpfosten	RHZVSMIM2FDC3J3GV2M7SOBXPU
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//unterer Sturzbalken	WDEACZXYHBBLVGQCLLYMDS3CWY
bbawgrabinschriften:Scheintüren des Khenti-ka, gen. Ichchi//〈Text〉	PX7DREVMQRAZRFW2PIRRR7ATZQ
bbawgrabinschriften:Scheintüren//Tafel	YMKL3PB4FNAOBKFFCGUO6BPNRA
bbawgrabinschriften:Scheintüren//Türrolle	QX2WORPEBNH3HJX7H4I74GZZKE
bbawgrabinschriften:Scheintüren//linker Pfosten	WYM2UERTB5AZ5MKOEFKBD5FKR4
bbawgrabinschriften:Scheintüren//nördliche Scheintür	YYMMRQ6CEFDRDJHRQHF4PB3NJQ
bbawgrabinschriften:Scheintüren//oberer Sturzbalken	U67F3UVZBREU3ADJIEPFWM2NKE
bbawgrabinschriften:Scheintüren//rechter Pfosten	JIXLZUH4WZC5XIXHIL7J53W4MA
bbawgrabinschriften:Scheintüren//südliche Scheintür	RJEWL2OPB5F6FFBXK27QNQSMYM
bbawgrabinschriften:Scheintüren//unterer Sturzbalken	WLOBKSN3MZDH3AKANQBOKTOM7Q
bbawgrabinschriften:Scheintürfafel B//〈TEXT〉	L5HPLRHGXBFGZHALIGWG3DOTOY
bbawgrabinschriften:Scheintürtafel A//〈TEXT〉	4NJ3SQ4GQ5AN5IC7U5Y6IA47Q4
bbawgrabinschriften:Scheintürtafel//Beischriften	VSXBVBOA3NFUFN3WTMCLQDOEJQ
bbawgrabinschriften:Scheintürtafel//Inschrift	TSJPA75DZ5H5JEC2YWRYN55IOY
bbawgrabinschriften:Scheintürtafel//Inschriften-Reste	EGVU5GITONF5FA23YY7EJQHXQA
bbawgrabinschriften:Scheintürtafel//Opferformel	TULFLFWTXRBDRPCU7NEU67CXW4
bbawgrabinschriften:Scheintürtafel//〈Text〉	P5JLGGL47NGTHLCTS3YN5WYXHM
bbawgrabinschriften:Schifffahrts-Szene//Szenenbeischriften	O4HHGSHBSNDT5EVUYPOLHRMGJQ
bbawgrabinschriften:Schiffsbau (links)//Beischrift	RIVCFUKGHNCYXA4C7XWIUCYBII
bbawgrabinschriften:Schiffsbau (rechts)//Beischriften	SDRYXUSICBFOFBQXCOV36ASKDI
bbawgrabinschriften:Schiffskonvoi//1. Register v.u.	GMLS7SPKKFC2DFKOBFUUS3GCYI
bbawgrabinschriften:Schiffskonvoi//2. Register v.u.	DNRH6QWQ4RFVZLTRK7PD35THMU
bbawgrabinschriften:Schiffskonvoi//3. Register v.u.	G4VUREBIYBH7NB3T2DGZ2YMWKI
bbawgrabinschriften:Schiffstransport und Vogelfang//〈Texte〉	OMDCFOOAFZBIVPNGSA5PU3B6SU
bbawgrabinschriften:Schiffstransport//〈Texte〉	DBT2TFF6YVFLDJ4GF72BD3RDTM
bbawgrabinschriften:Schiffszene (rechts)//Beischriften	GVGY2HTBRRE53HPZ4T32COPEKM
bbawgrabinschriften:Schiffszene (rechts)//links	Z4YMQ3Q76REX3FGSWBSO6U222Y
bbawgrabinschriften:Schiffszene (rechts)//rechts	BMND6EWT3VBW7JE6J42D3EMDYM
bbawgrabinschriften:Schist-Statuenfragment//Inschrift	RQWTLVA4OJHBJFU2CWECIWFF4Y
bbawgrabinschriften:Schlachttiere//〈Beischriften〉	6EJNXBA6ABFNVBLJ3URPT4YB6Y
bbawgrabinschriften:Schlachtung der Opfertiere//Szenentitel	DWWLB7MKTNBXTK7RWUCDYP3AXA
bbawgrabinschriften:Schlachtungsszene//Beischrift	QR73QGW2WZGWHOXCI2BRABQXGA
bbawgrabinschriften:Schleifstein-Szene//Beischrift	CITUH6WUANERHBWJFOYEUMFRPY
bbawgrabinschriften:Schlittentransport//Schlittentransport	6YUWEAHBIREIZGUGBZRA7JM3PQ
bbawgrabinschriften:Schlächter-Szene//Beischrift (3. Rind v.r.)	MIKFAIIL5FCGDPVPQSZKES6A7Y
bbawgrabinschriften:Schlächter-Szene//Beischriften (1. Rind v.r.)	FSBYAK7TJBFMPPNB22ZAUAMG3Q
bbawgrabinschriften:Schlächter-Szene//Beischriften (2. Rind v.r.)	RARPPUXM5REELONU4YCYFRDD3A
bbawgrabinschriften:Schlächter-Szene//Beischriften (4. Rind v.r.)	4AEIFBHKRNHO5GL46K56ZRVPZM
bbawgrabinschriften:Schlächter-Szene//Beischriften (5. Rind v.r.)	FJSGO7R7FBCEPKKOAB777UWZYQ
bbawgrabinschriften:Schlächter-Szene//Personenbeischrift (1. Person v.r.)	RXFDCJQNMVBCBATQMUYJDPLYTY
bbawgrabinschriften:Schlächter-Szene//Szenenbeischriften (1. Tier v.r.)	IDWPQKBVANCPTCOE7H6RVGB46E
bbawgrabinschriften:Schlächter-Szene//Szenenbeischriften (2. Tier v.r.)	5MPURPVX6RBF3GW6B7SKZCTPJU
bbawgrabinschriften:Schlächter-Szene//Szenenbeischriften (3. Tier v.r.)	4NCJIO7Y7NAN3I57GATUT77OVY
bbawgrabinschriften:Schlächter-Szene//Szenenbeischriften (4. Tier v.r.)	FLX6NB3SU5G7ZG3CYI5SJ4CE3I
bbawgrabinschriften:Schlächter-Szene//Szenenbeischriften (5. Tier v.r.)	L23QDFAC2VCQ3EDIUPYIPS27BM
bbawgrabinschriften:Schlächter-Szene//Szenenbeischriften (6. Tier v.r.)	EYHKE4UOYRHWDIYXTXLTQZIOEI
bbawgrabinschriften:Schlächterszene//1. Register, Beischrift eines Mannes	YKZRX7F64RGGZPOKLSNTX2EM5M
bbawgrabinschriften:Schlächterszene//1. Register, Szenenbeischrift	XSEJFZRT2RBJRNSUMRM7C5AI5M
bbawgrabinschriften:Schlächterszene//2. Register, Schlachtender, Rede	TOOKHI7G7FA3BEQ7ILK4W22FJM
bbawgrabinschriften:Schreibbüro (rechts)//Personenbeischriften	WKRAGNMBVFAFJKMB73YW37K4PU
bbawgrabinschriften:Schreiber in 4 Registern//1. Register	OU3IPGDL7ZCF5HDPEAMEZHQTPM
bbawgrabinschriften:Schreiber in 4 Registern//2. Register	LV5JHMZKOJGV7MMLHNVJ3QY7W4
bbawgrabinschriften:Schreibstube//Personenbeischriften	CN7VQF4BZ5HU3NKHGRODLPWKDI
bbawgrabinschriften:Schreibstube//oberes Teilregister	6FIFURHWRZF3VDYJ47QM6XCB2I
bbawgrabinschriften:Schreibstube//unteres Teilregister	MJLEU3MKQFCIVJZYXG4UKPLQWE
bbawgrabinschriften:Schreinherstellung//Beischriften	KNPHUNYPWFAQJKNTD3ICRSNQII
bbawgrabinschriften:Seite 1//Titulatur	S7ZVX7FUHNFAVO5GP73YRLTAS4
bbawgrabinschriften:Seite 1//Ölliste als Gefäßbeischriften	NAIS22B325BLVDZ7WN2ZWGRGPM
bbawgrabinschriften:Sektion D//Opferformel	QC34WOAFBJB65BDQPCPC63W6GQ
bbawgrabinschriften:Sektion D//Personenbeischriften	DQ3GXCSHAVC37EQWXNW3SIKBZ4
bbawgrabinschriften:Separater Block//separater Block	IYIMRYVFK5E3VLXSGKF6NEI7GQ
bbawgrabinschriften:Serdab 13//Fragment A	B2CIRGEOBVF3BPX2VVZDEVPU4A
bbawgrabinschriften:Serdab 13//Fragment B	4CPOD6JL2NCXBGB2ZUMRIBXWYY
bbawgrabinschriften:Serdab 13//Fragment C	FM6HZVD45JH4THJB6Y3DLH2CBY
bbawgrabinschriften:Serdab 13//Inschriften	3EL3JHGXCVDA5C4RSFPAUPZGKQ
bbawgrabinschriften:Serdab-Block//〈Text〉	L3DTBRKNOZEP5LGRCQG4PDANKU
bbawgrabinschriften:Serdab-Statue 39-1-16//〈Texte〉	SPYA4MICW5AE7IMFD5YEEIDBWQ
bbawgrabinschriften:Serdab-Statue 39-1-17//〈Texte〉	I4ERYHM2LZFQRAJ4Z3UV5IIEHI
bbawgrabinschriften:Serdab-Statue 39-1-18//〈Texte〉	INIYCZZINJDLBFY3HHVACBWCXA
bbawgrabinschriften:Serdab-Statue 39-1-19//〈Texte〉	ZJ3YPSOJGZC3JBCREPC6FT73G4
bbawgrabinschriften:Serdab-Statue MFA 12.1484//〈Text〉	7PQBB3XZOJAMTOGRK3ASLOSZ4Y
bbawgrabinschriften:Serdab-Statue MFA 12.1504//〈Text〉	EVQEBIFS2VC5ZEGOPLHEWHQHVU
bbawgrabinschriften:Serdab-Statue des Hem-iunu//Basis-Inschrift	GTL2IYMFGFGKFDZCF7443S3OGQ
bbawgrabinschriften:Siegelabrollung Hildesheim 2431//〈Text〉	EAX7TZ25FNEMDEJ7ZN33Y7ILPY
bbawgrabinschriften:Siegelabrollung Hildesheim 2502//〈Text〉	UJ3S6CFFVVED7A5BZ6PHHYPWFQ
bbawgrabinschriften:Sitzender Grabherr mit Sohn und Hund//Inschrift hinter Grabherr	SEBW3YITQBEGPABU3H5DTXYGD4
bbawgrabinschriften:Sitzstatue (kopflos)//Inschrift	LEO4GEBWF5AYNBWEBRF7KT7ACE
bbawgrabinschriften:Sitzstatue der Meret-ities//Inschrift (linke Stuhlseite)	UP7SNMYXVRH7FMGUSPPZBGYAVM
bbawgrabinschriften:Sitzstatue des Min-inu//Basis-Inschrift	JTNAXZFBPJGN5NXF4F6W5RHMXI
bbawgrabinschriften:Sitzstatue des Nisu-useret//Inschrift	G275E3F2RVG2LI4RMTZNHIV3OQ
bbawgrabinschriften:Sitzstatue des Qedfy//Basis-Inschrift	4574P73IRFBVXN4EJZIG3UYHWE
bbawgrabinschriften:Sitzstatue//linke Beischrift	JWDMZT6DTJHFLPONQTQZIIZGB4
bbawgrabinschriften:Sitzstatue//linke Inschrift	XV2B6U2ZNZEDPKLPJV6KMX3EB4
bbawgrabinschriften:Sitzstatue//rechte Beischrift	6AMNNLOU2ZEKPNMVYDB7DYSNPM
bbawgrabinschriften:Sitzstatue//rechte Inschrift	DN6EPTETJBFUVJ7PUHGOG6VO6A
bbawgrabinschriften:Sitzstatue//〈Inschriften〉	N5MO2VXPIFFLPKPPK7WPHHQ4NM
bbawgrabinschriften:Sitzstatue//〈Texte〉	OLKXT3MHRVH7POTVBY7IOGAVSM
bbawgrabinschriften:Sitzstatuette (MFA Boston: 38-4-1)//〈Text〉	M32WYAIXF5AQ5PXCONE7BLQC2Y
bbawgrabinschriften:Sohn vor landwirtschaftlichen Szenen//Beischrift vor Sohn	Z5AEMJ4LQNETZFS4FMDHB5FCGE
bbawgrabinschriften:Sohn vor landwirtschaftlichen Szenen//Beischrift über und hinter Sohn	3FOIH7MB55FB3CZOEK4QYPZESA
bbawgrabinschriften:Speisetisch-Szene (ohne Grabherr)//Opfertisch-Beischrift	JGJHPQ6QKNDYTG3FJ24JOUXH74
bbawgrabinschriften:Speisetisch-Szene (ohne Grabherr)//Signalement	57EUGDJEVBFSNNVVJLDR45755M
bbawgrabinschriften:Speisetisch-Szene (ohne Grabherr)//〈Texte〉	XMTLLERXHFAZBAUG4HSQIWKVIM
bbawgrabinschriften:Speisetisch-Szene//Opferformel	H3SYMTXGANAGVKAHHCY3TFMYXQ
bbawgrabinschriften:Speisetisch-Szene//Personenbeischriften	SLMQ54XOSJF23FCTUCVRIELBXE
bbawgrabinschriften:Speisetisch-Szene//linke Seite	BEKPP3TR2NE4DDOATITSCXWXMA
bbawgrabinschriften:Speisetisch-Szene//rechte Seite	WBYQY7QLZZC2ZDGFBQAQSWSNGU
bbawgrabinschriften:Speisetischszene eines Ehepaares//Beischrift Ehefrau	3YAPH4OFFBFAPBF56ASSRT545M
bbawgrabinschriften:Speisetischszene eines Ehepaares//Beischrift Sohn vor Tisch	5ISNNNNW6JADZLICKPAFBIY7ZY
bbawgrabinschriften:Speisetischszene eines Ehepaares//Beischrift der Frau	44JEY7PVJJBM3GJENJKXN66HZU
bbawgrabinschriften:Speisetischszene eines Ehepaares//Beischrift zur Stelenanfertigung	HHWOE2SYRFESBEFNZU6LOM6BEI
bbawgrabinschriften:Speisetischszene eines Ehepaares//Opferangabe	Z6DN2YVYSFBVZB2WFTELE2JAHI
bbawgrabinschriften:Speisetischszene eines Ehepaares//Opferangaben über dem Tisch	SUK6X6PTLZCX7C6WSQ7CLRKZBE
bbawgrabinschriften:Speisetischszene eines Ehepaares//Opferformel	QHDJMKDIXNFT5F4RNTJIBOSKUA
bbawgrabinschriften:Speisetischszene in 3 Registern//Beischrift über und neben Speisetisch	RXFEZEF6KBALNAIU2JXTGRBFEM
bbawgrabinschriften:Speisetischszene in 3 Registern//Opferformel über Grabherrin	4OL6G3S435BY3NO62QSK3DXPHI
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden (Mitte)//Opferformel	KVC56BDFX5ECLK47LFSQKALXLE
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift Ehefrau	V33FGASNKZE5JOZ5OEGCHLN7WI
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift Grabherr	Y6WISWMP3RATPBUBH2QU7MS7BY
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift knieender Mann	HXTVV5AGZZAXROS3TWDW7PZ4WU
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift letzter stehender Mann	GY2R25MT3BCVRDPUJXIBNO2RDM
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift zum Sohn	PGYXAQZGENEUPORYARPFEU5TZM
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift zur Grabherrin(?)	AL5LEPBE25HZFMFBGB2QRLJOAQ
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift über Opfergabenbringenden und Opfern	HBVBBNCU3ZCX7G2Q5ZC74EHBJM
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Beischrift über Speisetisch	TEJUHRJWMVBKVMPEC3UWVP472Q
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Opferangaben neben Speisetisch	QAPF4SKX55A3DC4HDHTANTAEEQ
bbawgrabinschriften:Speisetischszene mit Opfergabenbringenden//Opferformel	HSYRNBFIERBNFKDDE2574WDZNI
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift Grabherr	RYGVYMHZLZGQTD2RRFMHETG2XY
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift oberhalb der Speisetischszene	4DX26BYUQNFQ3FPXXYIOZWQQPQ
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift und Rede des Sohnes	5TAXYVORWJH7RAN7VRR4GGZGL4
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift unter Speisetisch	TABJYZOA5ZHILPM76QT47GIH4E
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift unterhalb des Opfertisches	7CGHHMXLP5FZ3HCOTZITBX6KPM
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift zu einem Mann neben allen Opfern	A3TWXRBOTVA7JHJAKL4GEOINDY
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift zum Grabherrn	OHCW5UZKIZGSDHP3A5SXKIOYHQ
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift zum Grabherrn mit Frau	4EZGGE3DDFE6ZJEEQQFQ4EDQRQ
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift zum Mann neben Speisetisch	V647J3WS7BAPDEB6YMZTXMJH4Q
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift zur Frau	ELXJDWYTGRCP5HCWQNI33WXDUQ
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift zur Speisetischszene	7TELPHBT7FDUZGJESRWTNRPQFA
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift über Speisetisch	NQWU3P2HHBAAXBUYXW6I2MIIPE
bbawgrabinschriften:Speisetischszene mit Opferliste//Beischrift über und neben Speisetisch	XMKBCAYKJZDCVG6UI62UZDVWUU
bbawgrabinschriften:Speisetischszene mit Opferliste//Ehefrau, Beischrift	LHWWLCYV7FAJDE6CXH7O52P2JM
bbawgrabinschriften:Speisetischszene mit Opferliste//Grabherr, Beischrift	3CO4HR55YNHBBM3F5FP675KJYA
bbawgrabinschriften:Speisetischszene mit Opferliste//Opferangabe (neben Speisetisch)〉	IKQSGX75OJG7VPKGNCES7ZTXEA
bbawgrabinschriften:Speisetischszene mit Opferliste//Opferangaben über Speisetisch	GBU65TAGIVAGJGSBY3TSACIDTU
bbawgrabinschriften:Speisetischszene mit Opferliste//Opferformel	PEICRCRYFFE73KH433XR3RMMMI
bbawgrabinschriften:Speisetischszene mit Opferliste//Opfergaben über Speisetisch	F2GPOLEUKNGERCZY4ROCTUOF4E
bbawgrabinschriften:Speisetischszene mit Opferliste//Opferliste	ZKMNYN2CWBFTXD7Q73OB7YW7PQ
bbawgrabinschriften:Speisetischszene mit Opferliste//Opferliste mit Opferformel (oberhalb Speisetischszene)	DPOA3BMKWBEQTCXVQRKGLKWDE4
bbawgrabinschriften:Speisetischszene mit Opferliste//Titulatur (über Speisetisch)	7E5FCIROQFACLKMEDB2FUI63MM
bbawgrabinschriften:Speisetischszene mit Opferliste//Titulatur Grabherr (nach Opferliste im 4. Register)	UJ7BYCHVSBASBNHTORZBSBQ4KI
bbawgrabinschriften:Speisetischszene mit Opferliste//Titulatur nach Opferliste	QOW3NHVK6BDH7M7B6R634SHVXE
bbawgrabinschriften:Speisetischszene mit Opferliste//rechtes Bildfeld	PQSSS5JUGNCAZEK257VXSQ7XRU
bbawgrabinschriften:Speisetischszene mit Opferliste//Ölliste hinter Grabherr	H4BVBD65E5D6RIALNKKZA4BWD4
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Beischrift Schlächterszene	6ASOH6LLSZAORA4XAKC2OWS7XE
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Beischrift zur Stelendekoration	O6VJSHW2YFGBTPHE2Z2C2VHIIE
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Beischriften zu Schlächterszene	L52S5ZYXT5FSJBTZYCA3VYC5N4
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Opferangaben über Speisetisch	EOLNLBF52JFZHIL575YWD7MCYU
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Opferformel	HDTKGC36CFBYTHE3Q24FZCD43M
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Schlächterszene unterhalb Speisetischszene	M2KZ3YAEWZEVTCKJMO2RPGKL6A
bbawgrabinschriften:Speisetischszene mit Schlächterszene//hinter Ehepaar	XLZQPMCAAVAGNPR2ZZXL5EAMBM
bbawgrabinschriften:Speisetischszene mit Schlächterszene//vor den Gesichtern	SE3C2O6FDFD27KCTQAKMLFRF6A
bbawgrabinschriften:Speisetischszene mit Schlächterszene//Überschrift rechts vom Speisetisch	Z65G5I4DSZA6FD4QTUBEFY4ACI
bbawgrabinschriften:Speisetischszene mit Schlächterszene//über Ehepaar	2AVBSBRONVHE7DWBN4BFGXI4KM
bbawgrabinschriften:Speisetischszene mit biograph. Inschrift und Opfergabenbringenden//Beischrift neben Speisetisch	H2VFP2DORZCABBEOLYKNFA6VRA
bbawgrabinschriften:Speisetischszene mit biograph. Inschrift und Opfergabenbringenden//biographische Inschrift vor Speisetisch	ABI6O5LRYFDR7KNTYXBAOPMF6M
bbawgrabinschriften:Speisetischszene und Grabherr mit Titulatur//Beischrift Grabherr stehend	4WLSVTYFOJC6PF6ZM7T6N5Q5XA
bbawgrabinschriften:Speisetischszene und Grabherr mit Titulatur//Opferangaben	DJW2LXV43VHSFCGI7ED5DDFP7U
bbawgrabinschriften:Speisetischszene und Grabherr mit Titulatur//Opferformel	TKIFOSLHSNGKFJKLEU2GE3LOKQ
bbawgrabinschriften:Speisetischszene und Grabherr stehend//Beischrift Grabherr stehend	CNFGTWS6CRASZPLCWZPQB6ENUU
bbawgrabinschriften:Speisetischszene und Grabherr stehend//Opferangabe	UR2Z4UIYRFELTGWHOOX5IHE7IA
bbawgrabinschriften:Speisetischszene und Grabherr stehend//Opferformel	UHNBXNWCSBER3N6KEWDXW6VUC4
bbawgrabinschriften:Speisetischszene vor Opfergabenbringenden//Beischrift Grabherrin	FPLLOJ4WPRCMTFQR7B46BFBQ4U
bbawgrabinschriften:Speisetischszene vor Opfergabenbringenden//Opferaufzählung über dem Opfertisch	ZU3HWYK7V5BLTKWBCUOOX6BINM
bbawgrabinschriften:Speisetischszene vor Opfergabenbringenden//Opferformel	DVTUGHYW4JB7BADO3H7RBBCATU
bbawgrabinschriften:Speisetischszene(?) des Ehepaares//Beischrift der Frau des Grabherrn	YMOYRMBUJRCMTMISFLDFTKFQBI
bbawgrabinschriften:Speisetischszene(?) des Ehepaares//Beischrift des Grabherrn	UEDIK3JCK5BDRLENME2ZS5L5UY
bbawgrabinschriften:Speisetischszene(?)//Beischrift Sohn	E6IB2SEIUNA6RBYGFSSPWVHXGQ
bbawgrabinschriften:Speisetischszene(?)//Opferaufzählung(?)	UV4LHTSKYFGZ7JAUYDTM5H6CHA
bbawgrabinschriften:Speisetischszene(?)//Opferformel	QZINUGVYKNBB7PPGOGGRUUMASE
bbawgrabinschriften:Speisetischszene//Beischrift Ehefrau	BOWTOAKA3RCOXAMEUNK6TH6MEQ
bbawgrabinschriften:Speisetischszene//Beischrift Grabherr	YCUXA26NKNDTNHT4I4JTXHAX7I
bbawgrabinschriften:Speisetischszene//Beischrift Sohn	FTJDROVQURGK3OZOTDURHZBYGI
bbawgrabinschriften:Speisetischszene//Beischrift des Grabherrn	G6B65UQEUJCKTPQAILHCA6UEOY
bbawgrabinschriften:Speisetischszene//Beischrift neben Opfertisch	7NHYEWQIKFE55GVWX2LTH4ETHM
bbawgrabinschriften:Speisetischszene//Beischrift neben Speisetisch	DOTWFFU7VJGSHPG36CTYUBCIG4
bbawgrabinschriften:Speisetischszene//Beischrift vor Grabherr	T2JXNSMZRVHGXMH4X4VBSUGPSE
bbawgrabinschriften:Speisetischszene//Beischrift zum Grabherrn	CDF3NXTDIFHWPAVGRFS6MI3J5A
bbawgrabinschriften:Speisetischszene//Beischrift zum Opfertisch	2CZXKHAJJZFNDAF5CEE5NR65VI
bbawgrabinschriften:Speisetischszene//Beischrift zur Anfertigung	NCQWINMSQFHO7I4H65RO45TSJY
bbawgrabinschriften:Speisetischszene//Beischrift zur Harfenspielerin links unter dem Tisch	VTADTCEJLNBGHEEIF4SRN2IURM
bbawgrabinschriften:Speisetischszene//Beischrift zur Stelenanfertigung	JPMCY47SJZC5DEZLEWTM4YE2HM
bbawgrabinschriften:Speisetischszene//Beischrift über Grabherr	VBX3NSJ5IBHPJCYPXDGK55M2RQ
bbawgrabinschriften:Speisetischszene//Beischrift über Speisetisch	DFG4WWNL5BBDJO4VMPRGOWUC4U
bbawgrabinschriften:Speisetischszene//Frau, Beischrift	FVTU2ZJ74FEHHKNSVZCW2T472Y
bbawgrabinschriften:Speisetischszene//Inschrift oberhalb Speisetisch	PEUPTG7SHRE7XNJKYBLLJYCFEA
bbawgrabinschriften:Speisetischszene//Opferangabe	CTZYNYDL5RHJVHC5QSKQ2T4NWA
